Added At,Name,Album,Release Date,Artists,Genres,Popularity,Duration (ms),Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Tempo,Valence
2021-10-07T15:49:54Z,Stupida canzone,È già domani,2021-09-17,Fast Animals and Slow Kids,"italian indie pop, italian alternative",36,204600,0.000765,0.548,0.941,1.17e-06,0.268,-3.537,0.0463,100.059,0.7
2021-10-07T15:49:52Z,Notti amarcord,Notti amarcord,2021-07-16,"Peter White, Zero Assoluto","italian pop, rome indie, italian adult pop",22,165183,0.269,0.625,0.719,0,0.321,-6.582,0.0648,100.006,0.551
2021-10-07T15:49:49Z,Giornata di merda,Giornata di merda,2021-06-18,Ciliari,"italian hip hop, indie, italian pop",44,198864,0.103,0.722,0.764,0,0.334,-6.217,0.0705,122.097,0.671
2021-10-07T15:43:12Z,Fiamme negli occhi,Fiamme negli occhi,2021-03-03,Coma_Cose,"italian adult pop, milan indie, italian indie pop, italian pop, italian alternative",49,206001,0.0353,0.683,0.606,1.23e-06,0.131,-6.473,0.0305,104.018,0.7
2021-10-07T15:42:59Z,passi falsi,passi falsi,2021-09-03,SANTACHIARA,"italian hip hop, indie, italian pop",24,200861,0.282,0.713,0.495,0,0.16,-10.912,0.0606,123.939,0.891
2021-10-07T15:42:43Z,DIECIMILAVOCI (con ARIETE),TAXI DRIVER,2021-04-29,"Rkomi, ARIETE","italian hip hop, rome indie, italian pop",0,170399,0.647,0.677,0.47,0,0.416,-8.17,0.0336,122.089,0.525
2021-10-07T15:42:29Z,DUE,DUE,2021-04-16,svegliaginevra,italian indie pop,0,151997,0.387,0.536,0.834,0,0.702,-6.582,0.102,159.719,0.635
2021-10-05T16:56:13Z,Alieni,Alieni,2021-10-01,M.E.R.L.O.T,"italian hip hop, indie, italian pop",23,167965,0.0736,0.536,0.662,0,0.235,-6.669,0.133,171.746,0.573
2021-10-05T16:50:12Z,Arianna,Arianna,2021-07-13,Pablo America,"italian hip hop, indie, italian pop",11,252569,0.0399,0.538,0.758,2.15e-06,0.357,-5.045,0.0357,130.052,0.391
2021-10-05T16:29:14Z,Roma Centro,Roma Centro,2021-05-21,Evandro,"italian hip hop, indie, italian pop",0,173948,0.438,0.492,0.506,0,0.371,-6.2,0.0572,151.811,0.173
2021-10-03T20:46:47Z,Mandorle,Mandorle,2021-09-23,Te quiero Euridice,indie folk italiano,5,154888,0.846,0.517,0.483,0.00474,0.269,-6.864,0.0444,173.54,0.0902
2021-10-03T12:17:59Z,Quel Bar,Quel Bar,2019-11-15,ARIETE,"italian hip hop, rome indie, italian pop",39,218333,0.909,0.426,0.172,0.0233,0.124,-22.029,0.0425,99.893,0.111
2021-10-01T19:37:15Z,Blank Space,1989 (Deluxe),2014-01-01,Taylor Swift,pop,82,231826,0.103,0.76,0.703,0,0.0913,-5.412,0.054,95.997,0.57
2021-09-29T14:00:23Z,L,L,2021-09-29,ARIETE,"italian hip hop, rome indie, italian pop",37,159449,0.169,0.556,0.515,0,0.162,-9.024,0.0289,79.952,0.384
2021-09-25T13:33:56Z,Your Power,Happier Than Ever,2021-07-30,Billie Eilish,"pop, art pop",73,245896,0.932,0.632,0.284,0.000476,0.233,-14.025,0.0801,129.642,0.208
2021-09-25T13:33:54Z,Happier Than Ever,Happier Than Ever,2021-07-30,Billie Eilish,"pop, art pop",83,298899,0.767,0.332,0.225,0.00349,0.128,-8.697,0.0348,81.055,0.297
2021-09-25T13:33:41Z,We Are Never Ever Getting Back Together,Red (Deluxe Edition),2012-10-22,Taylor Swift,pop,59,193146,0.00957,0.628,0.676,2.65e-05,0.121,-5.911,0.0916,85.984,0.75
2021-09-21T10:46:08Z,Belva,OK,2021-02-12,Gazzelle,"italian pop, rome indie, italian adult pop",0,175913,0.116,0.664,0.7,2.15e-05,0.123,-6.822,0.0996,160.039,0.475
2021-09-17T06:56:30Z,Tornado,2004,2016-10-21,Frah Quintale,"milan indie, italian hip hop, italian indie pop, italian pop",45,180087,0.106,0.564,0.863,0,0.29,-4.564,0.106,82.865,0.823
2021-09-16T10:19:17Z,Tout l'univers,Tout l'univers,2021-03-10,Gjon's Tears,pop,0,183706,0.81,0.534,0.365,2.52e-06,0.158,-9.187,0.033,123.466,0.237
